keys,en,nl
SOLO_NAME_SYSTEM,"System","Systeem"
SOLO_FEED_RESUMED,"Campaign resumed in round %d.","Campagne hervat in ronde %d."
SOLO_NAME_LOTING,"The Draw","De Loting"
SOLO_FEED_LOTING,"Round 1: the draw decides the pairs — everyone to the board!","Ronde 1: het lot bepaalt de paren — iedereen het bord op!"
SOLO_BUSY_BOT_DUEL,"The bots are playing duel %d of %d: %s vs %s...","De bots spelen duel %d van %d: %s vs %s..."
BARK_LOYAL_NOM_TEAM_1,"For the team, %s. Make us proud.","Voor het team, %s. Maak ons trots."
BARK_LOYAL_NOM_TEAM_2,"You are our spear, %s.","Jij bent onze speer, %s."
BARK_LOYAL_NOM_SELF_1,"I'll go myself. Duty is duty.","Ik ga zelf. Plicht is plicht."
BARK_LOYAL_DONATE_1,"Take my troops, %s. Win this for us.","Neem mijn troepen, %s. Win voor ons."
BARK_LOYAL_WILL_1,"My legacy serves the team. Farewell.","Mijn nalatenschap dient het team. Vaarwel."
BARK_LOYAL_WILL_ENEMY_1,"This... I never thought I'd do this.","Dit... had ik nooit gedacht te doen."
BARK_RAT_NOM_TEAM_1,"Someone has to do it. Not me.","Iemand moet het doen. Niet ik."
BARK_RAT_NOM_TEAM_2,"%s seems... suitable.","%s lijkt me... geschikt."
BARK_RAT_NOM_SELF_1,"If I must, I must. Regrettably.","Als het moet, dan moet het. Helaas."
BARK_RAT_DONATE_1,"A trifle. Remember this, %s.","Een kleinigheid. Onthoud dit, %s."
BARK_RAT_WILL_1,"If I fall, someday you fall too.","Als ik val, val jij ooit ook."
BARK_RAT_WILL_ENEMY_1,"The enemy pays better than my 'friends'.","De vijand betaalt beter dan mijn 'vrienden'."
BARK_MISER_NOM_TEAM_1,"%s fights. I guard the stockpile.","%s vecht. Ik bewaak de voorraad."
BARK_MISER_NOM_SELF_1,"Fine then. But this will cost you.","Vooruit dan. Maar dit kost jullie wat."
BARK_MISER_DONATE_1,"One pawn. That's all you get.","Eén pion. Meer krijg je niet."
BARK_MISER_WILL_1,"My treasures... divide them wisely. Or don't.","Mijn schatten... verdeel ze wijs. Of niet."
BARK_MISER_WILL_ENEMY_1,"Better with them than burned.","Beter bij hen dan verbrand."
BARK_BERSERKER_NOM_TEAM_1,"Let ME go! ... Fine, %s then.","Laat MIJ gaan! ... Prima, %s dan."
BARK_BERSERKER_NOM_SELF_1,"FINALLY. Send the biggest one they've got!","EINDELIJK. Stuur de grootste die ze hebben!"
BARK_BERSERKER_DONATE_1,"Here. Hit harder.","Hier. Sla harder."
BARK_BERSERKER_WILL_1,"I die standing. Take my axe.","Ik sterf staand. Neem mijn bijl."
BARK_BERSERKER_WILL_ENEMY_1,"Respect for a worthy foe.","Respect voor een waardige vijand."
BARK_STRATEGIST_NOM_TEAM_1,"The numbers point to %s. Simple.","De cijfers wijzen %s aan. Simpel."
BARK_STRATEGIST_NOM_SELF_1,"Statistically speaking... I am the best option.","Statistisch gezien... ben ik de beste optie."
BARK_STRATEGIST_DONATE_1,"Precisely measured. Use it well.","Precies afgewogen. Gebruik het goed."
BARK_STRATEGIST_WILL_1,"According to plan, even now.","Volgens plan, zelfs nu."
BARK_STRATEGIST_WILL_ENEMY_1,"An investment in the final standing.","Een investering in de eindstand."
BARK_OPPORTUNIST_NOM_TEAM_1,"Take the weakest. Always the weakest.","Pak de zwakste. Altijd de zwakste."
BARK_OPPORTUNIST_NOM_SELF_1,"Against that one? Sure, I'll win that.","Tegen díe? Ja, dat win ik wel."
BARK_OPPORTUNIST_DONATE_1,"Consider it a loan, %s.","Zie het als een lening, %s."
BARK_OPPORTUNIST_WILL_1,"Whoever repays me in the afterlife...","Wie mij terugbetaalt in het hiernamaals..."
BARK_OPPORTUNIST_WILL_ENEMY_1,"Nothing personal. Strictly business.","Niets persoonlijks. Puur zakelijk."
BARK_DOUBTER_NOM_TEAM_1,"Maybe %s? Or... no, %s.","Misschien %s? Of toch... nee, %s."
BARK_DOUBTER_NOM_SELF_1,"Okay. Okay okay okay. I'll do it.","Oké. Oké oké oké. Ik doe het."
BARK_DOUBTER_DONATE_1,"Is this enough? It's probably not enough.","Is dit genoeg? Het is vast niet genoeg."
BARK_DOUBTER_WILL_1,"Did I divide it right? Too late now.","Heb ik het goed verdeeld? Te laat nu."
BARK_DOUBTER_WILL_ENEMY_1,"Was that really wise?","Was dit wel verstandig?"
BARK_KAMIKAZE_NOM_TEAM_1,"Send %s into the inferno!","Stuur %s de vuurzee in!"
BARK_KAMIKAZE_NOM_SELF_1,"For eternal glory!","Voor de eeuwige roem!"
BARK_KAMIKAZE_DONATE_1,"Everything! Take everything!","Alles! Neem alles!"
BARK_KAMIKAZE_WILL_1,"Ashes to ashes. My troops go to the bravest.","As tot as. Mijn troepen aan de dappersten."
BARK_KAMIKAZE_WILL_ENEMY_1,"Even my enemy fought more beautifully than my team.","Zelfs mijn vijand vocht mooier dan mijn team."
SOLO_FEED_DONATE,"%s gives %s to %s","%s geeft %s aan %s"
SOLO_FEED_TESTAMENT,"%s bequeaths %s to %s","%s laat %s na aan %s"
SOLO_UNIT_INF,"soldiers","soldaten"
SOLO_UNIT_CAV,"cavalry","cavalerie"
SOLO_UNIT_ART,"cannons","kanonnen"
SOLO_UNIT_CP,"CP","CP"
